"block","plotID","plotName","tree_species_richness","mycorrhizal_type","composition","trapID","contaminants","trap_condition","month","div","blk","myc","sr","sr_myc","month1","species","dryweight","dryweight_corr"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Prunus.avium",4.6,9.2
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Tilia.platyphyllos",0.883,1.766
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",1.076,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",1.076,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",1.076,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",1.076,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",1.076,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",1.076,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",1.076,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Prunus.avium",5.96,11.92
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",1.076,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",1.076,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",1.076,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Tilia.platyphyllos",0.653,1.306
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.297,"ok","2023-08",2,1,"AM + EM",2,"2_AM + EM","August","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.297,"ok","2023-08",2,1,"AM + EM",2,"2_AM + EM","August","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.297,"ok","2023-08",2,1,"AM + EM",2,"2_AM + EM","August","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.297,"ok","2023-08",2,1,"AM + EM",2,"2_AM + EM","August","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.297,"ok","2023-08",2,1,"AM + EM",2,"2_AM + EM","August","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.297,"ok","2023-08",2,1,"AM + EM",2,"2_AM + EM","August","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.297,"ok","2023-08",2,1,"AM + EM",2,"2_AM + EM","August","Prunus.avium",5.662,11.324
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.297,"ok","2023-08",2,1,"AM + EM",2,"2_AM + EM","August","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.297,"ok","2023-08",2,1,"AM + EM",2,"2_AM + EM","August","Sorbus.aucuparia",NA,NA
